id	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSG00000157214.13	3014.6806309858	2.02235307365754	0.0816585655800631	8.30116494884895e-137	1.39675401429332e-132	STEAP2
ENSG00000120129.5	3413.22663298869	2.9530624587659	0.120556925538849	1.62180064786477e-134	1.36442088504863e-130	DUSP1
ENSG00000189221.9	2383.7733908448	3.3979789469344	0.139488709508378	1.49582813621733e-133	8.38960140666427e-130	MAOA
ENSG00000101347.9	14006.2541228197	3.74640312984027	0.156228955886296	1.65507481231967e-130	6.96207219802271e-127	SAMHD1
ENSG00000162614.18	5568.97726622654	2.03436586742737	0.084959509167094	4.51561423401139e-128	1.51959450202951e-124	NEXN
ENSG00000196136.17	2709.07889438615	3.2387784417336	0.143858950005089	1.48344715948795e-114	4.16008031759072e-111	SERPINA3
ENSG00000152583.12	982.409755628742	4.49969346799404	0.20422924138479	8.47352391673307e-111	2.0367930488993e-107	SPARCL1
ENSG00000211445.11	12550.0904171913	3.75674428311341	0.172366066189008	7.08023219753361e-109	1.48914983694626e-105	GPX3
ENSG00000154734.14	29655.1168599955	2.23104821255028	0.110915546648248	1.06091831272411e-91	1.98344572554399e-88	ADAMTS1
ENSG00000125148.6	3677.35729079767	2.1984280718691	0.112454829403705	1.14772159654799e-86	1.93115635835164e-83	MT2A
ENSG00000134243.11	5552.2666980666	2.19846405578926	0.113012237939154	3.32995472344769e-86	5.09361983424825e-83	SORT1
ENSG00000139132.14	1200.86430631645	2.15415125391213	0.110593241297719	7.34494124033792e-86	1.02988317758272e-82	FGD4
ENSG00000109906.13	423.229837286554	6.46689257699972	0.335136394802568	6.18813445851466e-85	8.00935003068982e-82	ZBTB16
ENSG00000145390.11	8736.65507205922	2.32192448310607	0.120886417268552	1.04253929871716e-83	1.2529833028725e-80	USP53
ENSG00000178695.5	2638.31036670268	-2.52137424844513	0.143280364272704	2.60788690534904e-71	2.92535367129353e-68	KCTD12
ENSG00000162692.11	503.903494338487	-3.6455996788167	0.210183798133252	9.12114739900135e-70	9.59202663347479e-67	VCAM1
ENSG00000166741.7	7499.1240139118	2.22494097209803	0.128591553210793	3.46069938629375e-69	3.42527811022227e-66	NNMT
ENSG00000127954.12	455.613322669647	4.71751228690658	0.27482505287236	2.6661671670764e-68	2.49227381962375e-65	STEAP4
ENSG00000198624.12	2032.54065571526	2.85633089624673	0.169373039880332	3.93383087866029e-66	3.48371780864937e-63	CCDC69
ENSG00000119139.19	5760.04560523332	1.98676377057919	0.117212918756751	5.23297967580952e-66	4.40250580125855e-63	TJP2
